"type","status","dateCreated","dateModified","habitat","foodSource","noPesticides"
"Private Citizen",true,"2013-05-08T19:47:24.056Z","2013-05-08T19:47:24.056Z",false,false,false
"Private Citizen",true,"2013-05-08T19:47:37.603Z","2013-05-08T19:47:37.603Z",false,false,false
"Private Citizen",true,"2013-05-15T14:53:30.778Z","2013-05-15T14:53:30.778Z",false,false,false
"Private Citizen",true,"2013-05-15T14:56:25.120Z","2013-05-15T14:56:25.120Z",false,false,false
"Private Citizen",true,"2013-05-15T14:57:07.387Z","2013-05-15T14:57:07.387Z",false,false,false
"Private Citizen",true,"2013-05-15T14:57:15.594Z","2013-05-15T14:57:15.594Z",false,false,false
"Private Citizen",true,"2013-06-10T17:51:56.960Z","2013-06-10T17:51:56.960Z",false,false,false
"Business",true,"2013-06-10T17:53:09.842Z","2013-06-10T17:53:09.842Z",true,true,false
"Private Citizen",true,"2013-06-11T18:55:54.845Z","2013-06-11T18:55:54.845Z",true,true,false
"Private Citizen",true,"2013-06-11T19:16:48.417Z","2013-06-11T19:16:48.417Z",false,false,false
"Private Citizen",true,"2013-06-11T19:45:40.510Z","2013-06-11T19:45:40.510Z",true,false,false
"Private Citizen",true,"2013-06-11T19:57:23.708Z","2013-06-11T19:57:23.708Z",true,true,true
"Private Citizen",true,"2013-06-11T21:57:38.846Z","2013-06-11T21:57:38.846Z",false,false,false
"Private Citizen",true,"2013-06-11T22:18:43.199Z","2013-06-11T22:18:43.199Z",false,false,false
"Private Citizen",true,"2013-06-11T22:19:57.666Z","2013-06-11T22:19:57.666Z",false,false,false
"Private Citizen",true,"2013-06-11T22:23:37.355Z","2013-06-11T22:23:37.355Z",false,false,false
"Private Citizen",true,"2013-06-11T22:25:53.543Z","2013-06-11T22:25:53.543Z",false,false,false
"Private Citizen",true,"2013-06-11T22:26:45.812Z","2013-06-11T22:26:45.812Z",false,false,false
"Private Citizen",true,"2013-06-11T22:29:29.104Z","2013-06-11T22:29:29.104Z",false,false,false
"Private Citizen",true,"2013-06-11T22:31:43.784Z","2013-06-11T22:31:43.784Z",false,false,false
"Private Citizen",true,"2013-06-11T22:47:43.469Z","2013-06-11T22:47:43.469Z",false,false,false
"Private Citizen",true,"2013-06-12T01:58:44.788Z","2013-06-12T01:58:44.788Z",false,false,false
"Private Citizen",true,"2013-06-12T01:59:20.863Z","2013-06-12T01:59:20.863Z",false,false,false
"Private Citizen",true,"2013-06-12T01:59:45.192Z","2013-06-12T01:59:45.192Z",false,false,false
"Private Citizen",true,"2013-06-12T02:00:16.563Z","2013-06-12T02:00:16.563Z",false,false,false
"Private Citizen",true,"2013-06-12T02:01:26.272Z","2013-06-12T02:01:26.272Z",false,false,false
"Private Citizen",true,"2013-06-12T02:02:15.033Z","2013-06-12T02:02:15.033Z",false,false,false
"Private Citizen",true,"2013-06-12T02:03:48.565Z","2013-06-12T02:03:48.565Z",false,false,false
"Private Citizen",true,"2013-06-12T02:06:50.079Z","2013-06-12T02:06:50.079Z",false,false,false
"Private Citizen",true,"2013-06-12T02:11:29.115Z","2013-06-12T02:11:29.115Z",false,false,false
"Private Citizen",true,"2013-06-12T02:12:42.583Z","2013-06-12T02:12:42.583Z",false,false,false
"Private Citizen",true,"2013-06-12T02:13:05.547Z","2013-06-12T02:13:05.547Z",false,false,false
"Private Citizen",true,"2013-06-12T02:13:41.323Z","2013-06-12T02:13:41.323Z",false,false,false
"Private Citizen",true,"2013-06-12T02:18:00.166Z","2013-06-12T02:18:00.166Z",false,false,false
"Private Citizen",true,"2013-06-12T02:21:27.748Z","2013-06-12T02:21:27.748Z",false,false,false
"Private Citizen",true,"2013-06-12T02:22:02.662Z","2013-06-12T02:22:02.662Z",false,false,false
"Private Citizen",true,"2013-06-12T02:23:51.105Z","2013-06-12T02:23:51.105Z",false,false,false
"Private Citizen",true,"2013-06-12T02:24:13.794Z","2013-06-12T02:24:13.794Z",false,false,false
"Private Citizen",true,"2013-06-12T02:25:28.786Z","2013-06-12T02:25:28.786Z",false,false,false
"Private Citizen",true,"2013-06-12T02:27:52.936Z","2013-06-12T02:27:52.936Z",false,false,false
"Private Citizen",true,"2013-06-12T02:28:22.696Z","2013-06-12T02:28:22.696Z",false,false,false
